Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22p","C_0402_1005Metric",176.812000,-100.076000,0.000000,top
"C2","1u","C_0402_1005Metric",277.495000,-75.692000,0.000000,top
"C3","1u","C_0402_1005Metric",276.987000,-81.534000,180.000000,top
"C4","22p","C_0402_1005Metric",177.292000,-97.310000,-90.000000,top
"C5","1u","C_0402_1005Metric",197.104000,-105.500000,0.000000,top
"C6","100n","C_0402_1005Metric",178.054000,-105.918000,-90.000000,top
"C7","100n","C_0402_1005Metric",186.500000,-107.480000,-90.000000,top
"C8","100n","C_0402_1005Metric",197.104000,-97.536000,0.000000,top
"C9","100n","C_0402_1005Metric",191.262000,-94.488000,90.000000,top
"C10","100n","C_0402_1005Metric",197.104000,-106.500000,0.000000,top
"C11","100n","C_0402_1005Metric",197.104000,-98.552000,0.000000,top
"C12","100n","C_0402_1005Metric",197.000000,-107.500000,0.000000,top
"C13","1u","C_0402_1005Metric",197.170000,-104.500000,0.000000,top
"C14","100n","C_0402_1005Metric",179.070000,-105.890000,-90.000000,top
"C15","100n","C_0402_1005Metric",197.104000,-96.520000,0.000000,top
"C16","100n","C_0402_1005Metric",201.323000,-99.187000,0.000000,top
"D1","D","D_SOD-323",281.781250,-31.606250,90.000000,top
"D2","D","D_SOD-323",262.731250,-31.606250,90.000000,top
"D3","D","D_SOD-323",243.681250,-31.606250,90.000000,top
"D4","D","D_SOD-323",224.631250,-31.750000,90.000000,top
"D5","D","D_SOD-323",205.581250,-31.606250,90.000000,top
"D6","D","D_SOD-323",186.531250,-31.606250,90.000000,top
"D7","D","D_SOD-323",167.481250,-31.606250,90.000000,top
"D8","D","D_SOD-323",148.431250,-31.606250,90.000000,top
"D9","D","D_SOD-323",129.381250,-31.606250,90.000000,top
"D10","D","D_SOD-323",110.331250,-31.606250,90.000000,top
"D11","D","D_SOD-323",91.281250,-31.606250,90.000000,top
"D12","D","D_SOD-323",72.231250,-31.750000,90.000000,top
"D13","D","D_SOD-323",53.181250,-31.750000,90.000000,top
"D14","D","D_SOD-323",34.131250,-31.750000,90.000000,top
"D15","D","D_SOD-323",15.081250,-31.606250,90.000000,top
"D16","D","D_SOD-323",277.018750,-50.800000,90.000000,top
"D17","D","D_SOD-323",253.206250,-50.943750,90.000000,top
"D18","D","D_SOD-323",234.156250,-50.800000,90.000000,top
"D19","D","D_SOD-323",215.106250,-50.800000,90.000000,top
"D20","D","D_SOD-323",196.056250,-50.800000,90.000000,top
"D21","D","D_SOD-323",177.006250,-50.800000,90.000000,top
"D22","D","D_SOD-323",157.956250,-50.800000,90.000000,top
"D23","D","D_SOD-323",138.906250,-50.656250,90.000000,top
"D24","D","D_SOD-323",119.856250,-50.656250,90.000000,top
"D25","D","D_SOD-323",100.806250,-50.800000,90.000000,top
"D26","D","D_SOD-323",81.756250,-50.800000,90.000000,top
"D27","D","D_SOD-323",62.706250,-50.656250,90.000000,top
"D28","D","D_SOD-323",43.656250,-50.656250,90.000000,top
"D29","D","D_SOD-323",19.843750,-50.800000,90.000000,top
"D30","D","D_SOD-323",274.637500,-69.706250,90.000000,top
"D31","D","D_SOD-323",248.443750,-69.706250,90.000000,top
"D32","D","D_SOD-323",229.393750,-69.850000,90.000000,top
"D33","D","D_SOD-323",210.343750,-69.706250,90.000000,top
"D34","D","D_SOD-323",191.293750,-69.850000,90.000000,top
"D35","D","D_SOD-323",172.243750,-69.850000,90.000000,top
"D36","D","D_SOD-323",153.193750,-69.850000,90.000000,top
"D37","D","D_SOD-323",134.143750,-69.706250,90.000000,top
"D38","D","D_SOD-323",115.093750,-69.850000,90.000000,top
"D39","D","D_SOD-323",96.043750,-69.706250,90.000000,top
"D40","D","D_SOD-323",76.993750,-69.706250,90.000000,top
"D41","D","D_SOD-323",57.943750,-69.850000,90.000000,top
"D42","D","D_SOD-323",26.987500,-69.850000,90.000000,top
"D43","D","D_SOD-323",269.875000,-88.900000,90.000000,top
"D44","D","D_SOD-323",238.918750,-88.900000,90.000000,top
"D45","D","D_SOD-323",219.868750,-88.900000,90.000000,top
"D46","D","D_SOD-323",200.818750,-88.900000,90.000000,top
"D47","D","D_SOD-323",181.768750,-88.900000,90.000000,top
"D48","D","D_SOD-323",162.718750,-88.756250,90.000000,top
"D49","D","D_SOD-323",143.668750,-88.756250,90.000000,top
"D50","D","D_SOD-323",124.618750,-88.756250,90.000000,top
"D51","D","D_SOD-323",105.568750,-88.756250,90.000000,top
"D52","D","D_SOD-323",86.518750,-88.756250,90.000000,top
"D53","D","D_SOD-323",67.468750,-88.756250,90.000000,top
"D54","D","D_SOD-323",41.275000,-88.900000,90.000000,top
"D55","D","D_SOD-323",15.081250,-88.756250,90.000000,top
"D56","D","D_SOD-323",257.968750,-108.743750,90.000000,top
"D57","D","D_SOD-323",234.156250,-108.743750,90.000000,top
"D58","D","D_SOD-323",157.956250,-108.743750,90.000000,top
"D59","D","D_SOD-323",87.312500,-108.600000,90.000000,top
"D60","D","D_SOD-323",62.706250,-108.743750,90.000000,top
"F1","500m","Fuse_0805_2012Metric",265.684000,-24.641000,-90.000000,top
"FB1","60@100MHz","L_0603_1608Metric",270.937500,-16.129000,0.000000,top
"R1","1k","R_0402_1005Metric",180.086000,-105.918000,90.000000,top
"R2","1k","R_0402_1005Metric",180.088000,-101.219000,0.000000,top
"R3","27.4","R_0402_1005Metric",197.104000,-102.500000,180.000000,top
"R4","27.4","R_0402_1005Metric",197.104000,-101.000000,0.000000,top
"R5","5.1k","R_0402_1005Metric",258.699000,-21.209000,180.000000,top
"R6","5.1k","R_0402_1005Metric",265.707500,-21.336000,0.000000,top
"R7","1k","R_0402_1005Metric",205.740000,-104.650000,90.000000,top
"SW1","SW_Push","SW_SPST_SKQG_WithStem",210.566000,-106.045000,180.000000,top
"U1","NCP1117-3.3_SOT223","SOT-23-3",276.987000,-78.607500,90.000000,top
"U2","PRTR5V0U2X","SOT-143",262.001000,-23.495000,0.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",187.363000,-100.418800,-90.000000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",204.641000,-95.758000,180.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",179.451000,-98.501200,90.000000,top
